customer_id,region,plan_type,contract_type,payment_method,device_type,support_channel,issue_type,tenure_months,monthly_charges_usd,total_charges_usd,avg_monthly_data_gb,num_support_contacts,first_call_resolution,nps_score,csat_score,csat_verbatim_text,sentiment_label,sentiment_score,churn_risk_score,churned,revenue_per_tenure_month,support_intensity_index,loyalty_tier,weighted_sentiment_index,interaction_date
CUST00018,Southeast,Premium,Month-to-Month,Auto-Pay,Business Line,Phone,Speed Issue,37,163.05,5993.77,25.23,8,False,-36,1,Worst customer service experience,Negative,0.2488,100,1,161.99,0.2105,Gold,0.312,2022-04-01
CUST00019,Northeast,Premium,Month-to-Month,In-Store,Tablet,In-Store,Plan Change,55,153.39,7359.75,113.46,4,True,-6,5,Great network coverage,Positive,0.6592,29.2,0,133.81,0.0714,Gold,0.8145,2022-09-19
CUST00020,Northeast,Premium,1-Year,Auto-Pay,Hotspot,Phone,Contract Issue,32,176.72,5206.8,67.63,13,True,-40,2,Poor network reliability,Negative,0.2644,100,1,162.71,0.3939,Silver,0.455,2022-02-20
CUST00021,Southeast,Premium,1-Year,Manual-Online,Hotspot,Phone,No Issue,14,114.15,1370.76,57.01,6,False,-11,3,Expected better response time,Neutral,0.3669,94.2,1,97.91,0.4,Silver,0.5557,2023-01-31
CUST00022,West,Premium,1-Year,Auto-Pay,Hotspot,Email,Contract Issue,66,117.92,8142.51,64.81,0,True,-34,2,Billing overcharge not fixed,Negative,0.0115,100,1,123.37,0.0,Platinum,0.4655,2024-06-08
CUST00023,Midwest,Premium,1-Year,Auto-Pay,Home Internet,App,Network Outage,33,39.76,1229.7,62.87,6,True,10,1,Terrible wait times,Negative,0.1869,100,1,37.26,0.1765,Silver,0.4425,2022-09-13
CUST00024,Midwest,Premium,2-Year,Mail,Hotspot,In-Store,Contract Issue,38,151.96,5129.86,80.13,12,True,57,5,Outstanding customer care,Positive,0.7624,32.6,0,135.0,0.3077,Gold,0.9247,2022-01-01
CUST00025,Midwest,Premium,Month-to-Month,Mail,Business Line,App,Contract Issue,42,132.29,5214.1,26.43,15,True,68,1,Will consider switching providers,Negative,0.1006,100,1,124.15,0.3488,Gold,0.544,2023-04-27
CUST00026,Midwest,Standard,Month-to-Month,Manual-Online,Smartphone,Chat,Network Outage,61,164.47,10069.77,55.19,6,False,26,4,Problem resolved quickly,Positive,0.659,56.8,0,165.08,0.0968,Platinum,0.7205,2022-01-12
CUST00027,Northeast,Enterprise,Month-to-Month,Manual-Online,Business Line,In-Store,Billing Dispute,72,84.81,6226.41,55.32,14,True,93,4,Very professional support team,Positive,0.926,59.4,0,86.48,0.1918,Platinum,0.8878,2024-10-30
CUST00028,West,Enterprise,Month-to-Month,Mail,Home Internet,Email,No Issue,32,214.76,6222.63,93.54,15,True,-30,4,Outstanding customer care,Positive,0.6938,86.0,1,194.46,0.4545,Silver,0.6725,2023-11-19
CUST00029,Midwest,Basic,Month-to-Month,Manual-Online,Tablet,In-Store,Contract Issue,20,185.4,3199.43,49.5,14,False,-85,2,Worst customer service experience,Negative,0.2715,100,1,159.97,0.6667,Silver,0.3263,2022-02-10
CUST00030,Southwest,Enterprise,1-Year,Auto-Pay,Hotspot,Email,No Issue,50,217.75,11330.47,50.86,7,False,-44,3,Service was okay,Neutral,0.4167,100,1,226.61,0.1373,Gold,0.498,2024-04-08
CUST00031,Southeast,Enterprise,Month-to-Month,Auto-Pay,Home Internet,App,Plan Change,4,48.46,181.38,104.16,5,True,-34,4,Seamless experience overall,Positive,0.7307,66.8,1,45.34,1.0,Bronze,0.6655,2024-02-16
CUST00032,Midwest,Enterprise,1-Year,Auto-Pay,Home Internet,Chat,Contract Issue,70,41.45,3018.67,27.68,2,True,93,1,Agent was unhelpful,Negative,0.2518,100,1,43.12,0.0282,Platinum,0.5877,2022-11-09
CUST00033,Southeast,Standard,1-Year,Auto-Pay,Business Line,Phone,Device Problem,33,198.71,5793.87,73.26,3,True,-21,1,Billing overcharge not fixed,Negative,0.1727,100,1,175.57,0.0882,Silver,0.3882,2024-02-08
CUST00034,West,Standard,Month-to-Month,Manual-Online,Smartphone,Email,No Issue,77,207.21,16102.68,68.35,1,True,36,4,Highly satisfied with resolution,Positive,0.6276,44.8,0,209.13,0.0128,Platinum,0.788,2023-11-30
CUST00035,Northeast,Enterprise,1-Year,Auto-Pay,Home Internet,Email,Contract Issue,59,185.6,10261.59,88.32,8,False,19,4,Very professional support team,Positive,0.7074,62.2,0,173.93,0.1333,Gold,0.7083,2023-05-18
CUST00036,Northeast,Premium,1-Year,Manual-Online,Home Internet,App,Plan Change,49,104.0,4835.4,39.68,15,True,-10,3,Waited longer than expected,Neutral,0.5104,100,1,98.68,0.3,Gold,0.6075,2023-07-20
CUST00037,Southwest,Basic,2-Year,Manual-Online,Smartphone,Phone,Contract Issue,53,137.48,7298.34,83.18,15,False,-96,1,Worst customer service experience,Negative,0.2075,100,1,137.7,0.2778,Gold,0.207,2023-09-20
CUST00038,Southwest,Premium,1-Year,In-Store,Home Internet,App,Speed Issue,46,184.62,7678.79,30.92,3,True,-20,1,Poor network reliability,Negative,0.0575,100,1,166.93,0.0638,Gold,0.39,2024-09-18
CUST00039,Midwest,Premium,Month-to-Month,Manual-Online,Hotspot,Phone,Speed Issue,23,96.49,2200.64,16.06,1,True,41,3,Average experience,Neutral,0.4914,73.8,1,95.68,0.0417,Silver,0.6967,2024-10-02
CUST00040,Northeast,Basic,2-Year,In-Store,Home Internet,In-Store,Device Problem,44,70.55,2670.47,112.99,15,True,-84,4,Very professional support team,Positive,0.8518,96.8,1,60.69,0.3333,Gold,0.578,2022-04-20
CUST00041,Southeast,Standard,2-Year,In-Store,Smartphone,Phone,Billing Dispute,72,198.17,13858.22,95.1,7,False,15,4,Outstanding customer care,Positive,0.9441,61.0,0,192.48,0.0959,Platinum,0.7012,2024-05-28
CUST00042,Midwest,Basic,2-Year,Auto-Pay,Tablet,Phone,Speed Issue,11,64.54,628.13,9.93,0,False,15,5,Seamless experience overall,Positive,0.7165,17.0,0,57.1,0.0,Bronze,0.8013,2023-04-20
CUST00043,Midwest,Premium,2-Year,Mail,Smartphone,Phone,Speed Issue,81,159.74,13078.44,24.54,3,True,65,2,Poor network reliability,Negative,0.0214,100,1,161.46,0.0366,Platinum,0.6387,2022-12-06
CUST00044,Midwest,Premium,1-Year,Auto-Pay,Home Internet,Email,Contract Issue,52,237.38,11727.74,59.76,2,True,10,3,Service was okay,Neutral,0.3274,82.0,1,225.53,0.0377,Gold,0.6425,2022-02-12
CUST00045,Midwest,Basic,Month-to-Month,Mail,Business Line,In-Store,Speed Issue,24,249.32,5607.77,97.9,2,False,-11,4,Highly satisfied with resolution,Positive,0.7284,56.2,0,233.66,0.08,Silver,0.6558,2022-08-03
CUST00046,Southeast,Premium,1-Year,Mail,Hotspot,In-Store,No Issue,71,38.06,2344.51,31.04,3,False,31,1,No accountability at all,Negative,0.1386,100,1,33.02,0.0417,Platinum,0.4293,2022-04-22
CUST00047,Southeast,Premium,2-Year,Mail,Home Internet,Chat,Network Outage,35,150.82,5466.28,53.14,15,True,-93,5,Agent was very helpful,Positive,0.7243,68.6,1,156.18,0.4167,Silver,0.6623,2022-01-29
CUST00048,Southwest,Enterprise,Month-to-Month,Manual-Online,Smartphone,In-Store,Billing Dispute,83,213.06,16794.04,86.28,8,False,23,4,Problem resolved quickly,Positive,0.7827,61.4,0,202.34,0.0952,Platinum,0.7152,2022-10-24
CUST00049,West,Standard,2-Year,Manual-Online,Smartphone,Email,No Issue,54,104.76,5699.71,32.79,0,True,85,3,Waited longer than expected,Neutral,0.474,63.0,0,105.55,0.0,Gold,0.7737,2024-09-29
CUST00050,Southeast,Enterprise,2-Year,Mail,Hotspot,Email,Plan Change,70,112.98,8197.82,104.48,7,False,-41,4,Seamless experience overall,Positive,0.8821,72.2,0,117.11,0.0986,Platinum,0.6033,2024-02-20
CUST00051,West,Standard,1-Year,Auto-Pay,Tablet,App,Plan Change,43,221.32,9753.14,53.4,14,True,84,2,Poor network reliability,Negative,0.0224,100,1,226.82,0.3182,Gold,0.672,2023-06-27
CUST00052,Midwest,Enterprise,2-Year,Auto-Pay,Hotspot,App,Device Problem,41,167.89,7072.7,59.07,1,True,-40,3,Issue eventually resolved,Neutral,0.4302,90.0,1,172.5,0.0238,Gold,0.555,2022-07-21
CUST00053,Northeast,Enterprise,Month-to-Month,In-Store,Smartphone,Chat,Speed Issue,8,94.53,699.5,18.32,13,True,-57,2,Worst customer service experience,Negative,0.1859,100,1,87.44,1.4444,Bronze,0.4253,2023-05-09
CUST00054,West,Standard,Month-to-Month,Mail,Hotspot,In-Store,Speed Issue,2,227.75,429.56,35.23,5,True,13,3,Decent support,Neutral,0.4917,87.4,1,214.78,1.6667,Bronze,0.6478,2024-05-18
CUST00055,Midwest,Enterprise,1-Year,Manual-Online,Home Internet,In-Store,Billing Dispute,31,113.89,3254.47,36.21,9,True,68,4,Outstanding customer care,Positive,0.6032,54.4,0,104.98,0.2812,Silver,0.844,2022-04-11
CUST00056,Southwest,Enterprise,1-Year,Manual-Online,Business Line,Email,Network Outage,82,71.82,5301.05,90.91,4,True,60,1,Problem kept recurring,Negative,0.01,100,1,64.65,0.0482,Platinum,0.53,2024-01-18
CUST00057,Southeast,Basic,1-Year,In-Store,Home Internet,Phone,Network Outage,17,203.02,3538.63,44.54,8,True,-35,4,Outstanding customer care,Positive,0.8986,73.0,1,208.15,0.4444,Silver,0.6638,2023-11-25
CUST00058,Northeast,Enterprise,Month-to-Month,Manual-Online,Tablet,In-Store,No Issue,72,110.46,8017.83,2.66,3,False,-6,3,Nothing exceptional,Neutral,0.3325,87.2,1,111.36,0.0411,Platinum,0.5645,2023-04-24
CUST00059,West,Basic,2-Year,In-Store,Business Line,Phone,Contract Issue,9,169.78,1440.7,84.43,13,True,-65,1,Billing overcharge not fixed,Negative,0.2988,100,1,160.08,1.3,Bronze,0.3112,2022-08-26
CUST00060,Northeast,Standard,2-Year,Manual-Online,Home Internet,In-Store,Speed Issue,70,122.2,8540.77,19.39,13,True,25,5,Agent went above and beyond,Positive,0.9756,41.0,0,122.01,0.1831,Platinum,0.8688,2023-07-27
CUST00061,Northeast,Premium,Month-to-Month,Mail,Home Internet,Phone,No Issue,47,51.85,2405.6,65.79,11,True,1,3,Issue eventually resolved,Neutral,0.5847,100,1,51.18,0.2292,Gold,0.6268,2024-07-20
CUST00062,Northeast,Standard,2-Year,Auto-Pay,Smartphone,Email,Network Outage,17,203.13,3076.95,99.75,6,True,-41,3,Waited longer than expected,Neutral,0.3009,100,1,181.0,0.3333,Silver,0.5533,2022-10-24
CUST00063,Southeast,Premium,Month-to-Month,Auto-Pay,Smartphone,Phone,Billing Dispute,46,203.79,8414.28,39.53,5,True,-87,2,No accountability at all,Negative,0.0341,100,1,182.92,0.1064,Gold,0.3728,2022-05-11
CUST00064,West,Enterprise,1-Year,Auto-Pay,Home Internet,App,Network Outage,79,39.53,3143.62,104.17,9,False,64,1,Problem kept recurring,Negative,0.2542,100,1,39.79,0.1125,Platinum,0.487,2024-05-23
CUST00065,Northeast,Enterprise,2-Year,Mail,Smartphone,Chat,Speed Issue,78,62.62,4274.98,75.29,10,False,52,5,Outstanding customer care,Positive,0.7815,29.6,0,54.81,0.1266,Platinum,0.866,2024-05-31
CUST00066,Northeast,Basic,2-Year,Manual-Online,Home Internet,In-Store,Network Outage,53,104.55,5212.56,50.5,3,True,9,3,Nothing exceptional,Neutral,0.5861,84.2,1,98.35,0.0556,Gold,0.6408,2024-08-29
CUST00067,Northeast,Basic,Month-to-Month,Auto-Pay,Home Internet,Chat,Contract Issue,48,208.58,9624.12,70.79,10,True,5,3,Got what I needed but took a while,Neutral,0.5604,99.0,1,200.5,0.2041,Gold,0.6338,2022-04-16
CUST00068,Midwest,Premium,1-Year,Auto-Pay,Business Line,App,Network Outage,20,174.47,3122.49,13.88,11,True,95,3,Got what I needed but took a while,Neutral,0.5535,83.0,1,156.12,0.5238,Silver,0.7913,2022-02-23
CUST00069,Southwest,Premium,Month-to-Month,Manual-Online,Hotspot,Email,Speed Issue,45,31.33,1443.65,68.39,12,True,-64,1,No accountability at all,Negative,0.0645,100,1,32.08,0.2609,Gold,0.313,2024-05-09
CUST00070,West,Premium,Month-to-Month,In-Store,Hotspot,Email,No Issue,73,161.16,12078.43,19.51,1,True,-31,4,Agent went above and beyond,Positive,0.7943,58.2,0,165.46,0.0135,Platinum,0.6707,2024-06-24
CUST00071,West,Premium,Month-to-Month,Auto-Pay,Hotspot,In-Store,Billing Dispute,37,179.2,6422.38,63.71,9,True,-44,4,Very happy with service,Positive,0.6031,76.8,1,173.58,0.2368,Gold,0.648,2023-09-10
CUST00072,Southeast,Standard,1-Year,In-Store,Hotspot,Chat,Billing Dispute,64,194.33,11008.58,46.24,7,True,-82,4,Very happy with service,Positive,0.7745,80.4,1,172.01,0.1077,Platinum,0.5815,2024-07-30
CUST00073,Northeast,Premium,2-Year,Mail,Business Line,In-Store,Contract Issue,82,121.88,8725.25,3.48,10,True,58,4,Highly satisfied with resolution,Positive,0.6353,58.4,0,106.41,0.1205,Platinum,0.8265,2022-08-05
CUST00074,Southeast,Enterprise,2-Year,Mail,Business Line,Chat,Device Problem,40,194.07,6942.38,93.72,2,True,35,5,Problem resolved quickly,Positive,0.9624,17.0,0,173.56,0.0488,Gold,0.8862,2023-12-17
CUST00075,Midwest,Standard,Month-to-Month,Auto-Pay,Tablet,Email,Network Outage,23,162.52,3745.6,79.01,5,False,18,5,Very professional support team,Positive,0.7796,26.4,0,162.85,0.2083,Silver,0.8065,2023-10-24
CUST00076,Midwest,Standard,1-Year,Auto-Pay,Home Internet,In-Store,Contract Issue,39,205.18,7748.23,42.88,2,True,18,4,Very happy with service,Positive,0.6228,50.4,0,198.67,0.05,Gold,0.7565,2023-08-11
CUST00077,Northeast,Basic,2-Year,Mail,Home Internet,App,Plan Change,6,128.93,782.83,78.57,10,False,28,2,Problem kept recurring,Negative,0.0311,100,1,130.47,1.4286,Bronze,0.524,2023-12-05
CUST00078,Northeast,Standard,Month-to-Month,Manual-Online,Home Internet,In-Store,Plan Change,67,164.15,10148.78,110.23,12,False,98,3,Service was okay,Neutral,0.5368,84.4,1,151.47,0.1765,Platinum,0.7465,2023-11-17
CUST00079,Northeast,Premium,Month-to-Month,Mail,Hotspot,Email,Contract Issue,78,222.11,15880.96,70.35,4,True,-21,4,Agent was very helpful,Positive,0.838,62.2,0,203.6,0.0506,Platinum,0.6883,2022-06-23
CUST00080,Midwest,Enterprise,2-Year,In-Store,Tablet,App,Billing Dispute,83,177.49,14020.1,3.17,9,True,-46,3,Could be improved,Neutral,0.3576,100,1,168.92,0.1071,Platinum,0.5445,2022-10-09
CUST00081,Southeast,Basic,1-Year,Auto-Pay,Business Line,App,No Issue,68,38.29,2388.53,92.19,4,False,-61,2,Will consider switching providers,Negative,0.2427,100,1,35.13,0.058,Platinum,0.3683,2022-12-06
CUST00082,West,Basic,1-Year,In-Store,Tablet,In-Store,Plan Change,37,195.52,7283.14,28.85,7,True,100,4,Problem resolved quickly,Positive,0.7471,44.0,0,196.84,0.1842,Gold,0.9,2024-06-21
CUST00083,West,Premium,1-Year,Mail,Tablet,Phone,No Issue,78,60.44,4242.89,77.3,11,True,82,5,Excellent support experience,Positive,0.714,25.6,0,54.4,0.1392,Platinum,0.9685,2022-11-25
CUST00084,Midwest,Enterprise,2-Year,Manual-Online,Home Internet,Chat,Network Outage,58,224.61,13497.6,50.37,12,True,-40,4,Highly satisfied with resolution,Positive,0.6898,82.0,1,232.72,0.2034,Gold,0.655,2023-10-15
CUST00085,Northeast,Premium,Month-to-Month,Manual-Online,Smartphone,Email,No Issue,61,183.13,9805.38,84.96,14,True,-80,1,Poor network reliability,Negative,0.1646,100,1,160.74,0.2258,Platinum,0.285,2024-12-16
CUST00086,West,Basic,1-Year,Manual-Online,Hotspot,Chat,Billing Dispute,31,122.35,3826.15,55.4,3,False,52,5,Very happy with service,Positive,0.8528,15.6,0,123.42,0.0938,Silver,0.866,2023-05-11
CUST00087,Southeast,Premium,1-Year,Auto-Pay,Business Line,Email,Network Outage,74,121.63,8846.48,11.19,11,True,34,5,Great network coverage,Positive,0.9146,35.2,0,119.55,0.1467,Platinum,0.8845,2024-11-05
CUST00088,Southwest,Basic,1-Year,Mail,Smartphone,In-Store,Speed Issue,33,194.4,5911.09,9.04,7,True,97,5,Highly satisfied with resolution,Positive,0.6534,14.6,0,179.12,0.2059,Silver,0.9948,2023-12-23
CUST00089,Southwest,Premium,2-Year,Manual-Online,Home Internet,In-Store,Contract Issue,24,208.52,4316.97,93.37,14,True,-25,2,Agent was unhelpful,Negative,0.2657,100,1,179.87,0.56,Silver,0.4812,2023-10-09
CUST00090,Midwest,Enterprise,2-Year,Mail,Hotspot,Chat,No Issue,83,72.03,5508.55,93.92,10,True,-69,3,Got what I needed but took a while,Neutral,0.523,100,1,66.37,0.119,Platinum,0.5043,2024-03-02
CUST00091,Midwest,Standard,1-Year,Mail,Hotspot,App,Speed Issue,11,189.95,1809.02,72.69,5,True,-18,1,Billing overcharge not fixed,Negative,0.0919,100,1,164.46,0.4167,Bronze,0.3935,2024-05-22
CUST00092,Southeast,Enterprise,1-Year,Mail,Smartphone,Email,Plan Change,56,90.39,5294.71,113.8,2,False,-7,5,Agent was very helpful,Positive,0.9811,25.4,0,94.55,0.0351,Gold,0.7628,2022-10-20
CUST00093,Southwest,Enterprise,Month-to-Month,Manual-Online,Smartphone,Phone,No Issue,83,110.58,8504.2,68.5,4,False,-6,3,Issue eventually resolved,Neutral,0.4722,89.2,1,102.46,0.0476,Platinum,0.5645,2024-12-20
CUST00094,Midwest,Enterprise,1-Year,In-Store,Tablet,Chat,Billing Dispute,24,139.78,3111.16,67.84,8,True,80,4,Problem resolved quickly,Positive,0.9985,50.0,0,129.63,0.32,Silver,0.865,2023-08-08
CUST00095,West,Standard,Month-to-Month,Manual-Online,Smartphone,In-Store,Network Outage,57,249.39,14387.27,116.14,10,True,81,1,Billing overcharge not fixed,Negative,0.2674,100,1,252.41,0.1724,Gold,0.5667,2022-11-19
CUST00096,Southeast,Premium,2-Year,Manual-Online,Smartphone,Phone,No Issue,18,82.07,1401.63,43.95,11,False,41,2,Issue still not resolved,Negative,0.0197,100,1,77.87,0.5789,Silver,0.5468,2024-03-26
CUST00097,West,Enterprise,1-Year,Auto-Pay,Tablet,Email,Contract Issue,10,128.98,1271.77,42.0,5,True,10,5,Very happy with service,Positive,0.9326,28.0,0,127.18,0.4545,Bronze,0.8425,2024-11-27
CUST00098,Southeast,Premium,Month-to-Month,Manual-Online,Hotspot,Phone,Speed Issue,67,226.87,15491.93,30.82,8,True,60,3,Issue eventually resolved,Neutral,0.4508,84.0,1,231.22,0.1176,Platinum,0.73,2022-12-12
CUST00099,Southwest,Standard,Month-to-Month,In-Store,Business Line,Chat,No Issue,4,47.86,199.04,92.75,8,True,96,5,Agent went above and beyond,Positive,0.8472,16.8,0,49.76,1.6,Bronze,0.993,2022-03-04
CUST00100,West,Premium,2-Year,In-Store,Home Internet,Phone,No Issue,52,95.43,4290.43,8.13,14,False,23,4,Very professional support team,Positive,0.6575,73.4,0,82.51,0.2642,Gold,0.7152,2023-10-16
CUST00101,Midwest,Enterprise,Month-to-Month,In-Store,Business Line,App,Billing Dispute,41,83.17,2982.03,54.5,4,True,-88,3,Waited longer than expected,Neutral,0.4254,100,1,72.73,0.0952,Gold,0.471,2022-11-24
CUST00102,Midwest,Premium,Month-to-Month,Manual-Online,Home Internet,App,Device Problem,64,223.39,13574.59,11.72,12,False,-39,2,Very disappointed with service,Negative,0.0152,100,1,212.1,0.1846,Platinum,0.4068,2024-10-10
CUST00103,Southwest,Enterprise,1-Year,Auto-Pay,Smartphone,In-Store,Network Outage,34,190.04,6479.27,44.55,12,True,45,5,Problem resolved quickly,Positive,0.745,35.0,0,190.57,0.3429,Silver,0.9038,2023-08-15
CUST00104,Northeast,Enterprise,2-Year,Mail,Business Line,Email,No Issue,80,179.68,12559.81,117.03,12,True,-14,5,Highly satisfied with resolution,Positive,0.902,46.8,0,157.0,0.1481,Platinum,0.8005,2023-02-12
CUST00105,Southwest,Enterprise,2-Year,Auto-Pay,Smartphone,Chat,Network Outage,43,206.86,8484.62,18.72,4,True,56,3,Waited longer than expected,Neutral,0.5218,76.8,0,197.32,0.0909,Gold,0.723,2023-09-05
CUST00106,Southwest,Premium,2-Year,Mail,Business Line,Email,Device Problem,3,111.03,328.01,117.61,9,True,52,4,Outstanding customer care,Positive,0.9868,57.6,0,109.34,2.25,Bronze,0.816,2023-04-12
CUST00107,Northeast,Enterprise,Month-to-Month,Mail,Tablet,Phone,Billing Dispute,74,238.6,15396.01,3.25,10,False,-62,4,Agent went above and beyond,Positive,0.8007,82.4,1,208.05,0.1333,Platinum,0.5665,2024-08-23
CUST00108,Northeast,Standard,2-Year,Manual-Online,Business Line,Email,Contract Issue,62,145.59,8239.02,21.61,10,True,73,3,Expected better response time,Neutral,0.5872,85.4,1,132.89,0.1587,Platinum,0.7528,2023-07-26
CUST00109,Southwest,Premium,Month-to-Month,In-Store,Hotspot,Phone,Contract Issue,63,99.74,5779.43,112.11,8,True,-69,5,Great network coverage,Positive,0.7519,49.8,0,91.74,0.125,Platinum,0.7043,2024-03-19
CUST00110,Midwest,Standard,1-Year,Auto-Pay,Hotspot,Chat,Speed Issue,57,174.3,9929.81,26.46,8,True,-65,1,Will consider switching providers,Negative,0.0718,100,1,174.21,0.1379,Gold,0.3112,2022-04-14
CUST00111,Southwest,Standard,2-Year,Manual-Online,Smartphone,Chat,Device Problem,43,187.81,7026.85,92.72,0,True,4,4,Seamless experience overall,Positive,0.8602,49.2,0,163.42,0.0,Gold,0.732,2023-08-12
CUST00112,Midwest,Premium,2-Year,Auto-Pay,Smartphone,App,Network Outage,69,192.5,13549.03,5.44,5,False,-55,1,Worst customer service experience,Negative,0.2364,100,1,196.36,0.0714,Platinum,0.2787,2023-01-17
CUST00113,Midwest,Basic,Month-to-Month,In-Store,Business Line,App,Billing Dispute,43,92.59,4171.76,65.65,15,True,29,4,Excellent support experience,Positive,0.7323,74.2,0,97.02,0.3409,Gold,0.7758,2024-07-28
CUST00114,Midwest,Standard,Month-to-Month,In-Store,Hotspot,App,Contract Issue,25,68.6,1751.41,107.75,13,True,-78,4,Agent was very helpful,Positive,0.9927,91.6,1,70.06,0.5,Silver,0.5885,2024-09-04
CUST00115,Midwest,Standard,Month-to-Month,In-Store,Home Internet,Phone,Device Problem,35,239.88,7643.45,87.02,0,True,67,3,Service was okay,Neutral,0.5003,66.6,1,218.38,0.0,Silver,0.7422,2024-08-11
CUST00116,Midwest,Standard,1-Year,In-Store,Smartphone,Email,Speed Issue,79,78.58,6465.27,57.9,14,True,6,5,Seamless experience overall,Positive,0.9029,46.8,0,81.84,0.175,Platinum,0.8355,2023-03-24
CUST00117,Southeast,Basic,2-Year,Mail,Business Line,Email,Billing Dispute,73,54.68,4054.53,108.44,6,True,-58,3,Could be improved,Neutral,0.3349,100,1,55.54,0.0811,Platinum,0.5235,2023-02-25
CUST00118,Southwest,Enterprise,Month-to-Month,Mail,Smartphone,In-Store,Network Outage,66,121.38,7712.93,67.5,9,True,1,3,Expected better response time,Neutral,0.4735,97.8,1,116.86,0.1343,Platinum,0.6268,2022-04-03
CUST00119,West,Premium,2-Year,Auto-Pay,Business Line,Chat,Billing Dispute,61,36.97,2101.31,92.51,13,True,-3,4,Agent went above and beyond,Positive,0.7503,76.6,1,34.45,0.2097,Platinum,0.7198,2022-09-30
